Category,NoWebsites,Percentage,NoTotal
bypass,5,0.06756756756756757,5
 html-has-lang,2,0.02702702702702703,2
 label,24,0.32432432432432434,54
 landmark-one-main,32,0.43243243243243246,32
 page-has-heading-one,17,0.22972972972972974,17
 region,56,0.7567567567567568,56
autocomplete-valid,3,0.04054054054054054,5
 button-name,7,0.0945945945945946,25
 duplicate-id-aria,5,0.06756756756756757,7
 heading-order,9,0.12162162162162163,13
 link-name,38,0.5135135135135135,381
 listitem,5,0.06756756756756757,238
 radiogroup,1,0.013513513513513514,1
color-contrast,12,0.16216216216216217,259
 image-alt,9,0.12162162162162163,28
aria-allowed-role,30,0.40540540540540543,234
 aria-valid-attr-value,6,0.08108108108108109,8
 frame-title,13,0.17567567567567569,21
 landmark-no-duplicate-banner,4,0.05405405405405406,4
 list,5,0.06756756756756757,7
empty-heading,1,0.013513513513513514,2
link-name,1,0.013513513513513514,5
 checkboxgroup,4,0.05405405405405406,4
 color-contrast,26,0.35135135135135137,1145
 definition-list,2,0.02702702702702703,29
 empty-heading,4,0.05405405405405406,18
 duplicate-id,12,0.16216216216216217,27
aria-required-children,3,0.04054054054054054,3
 autocomplete-valid,5,0.06756756756756757,6
 duplicate-id-active,2,0.02702702702702703,2
 aria-required-children,2,0.02702702702702703,2
 tabindex,3,0.04054054054054054,14
 meta-viewport,7,0.0945945945945946,7
 object-alt,1,0.013513513513513514,2
aria-allowed-attr,1,0.013513513513513514,1
 aria-allowed-role,1,0.013513513513513514,3
 aria-valid-attr,2,0.02702702702702703,12
 skip-link,1,0.013513513513513514,1
button-name,4,0.05405405405405406,6
landmark-no-duplicate-banner,1,0.013513513513513514,1
label,2,0.02702702702702703,2
 bypass,4,0.05405405405405406,4
 label-title-only,1,0.013513513513513514,1
region,2,0.02702702702702703,2
landmark-one-main,3,0.04054054054054054,3
 meta-viewport-large,1,0.013513513513513514,1
duplicate-id-aria,1,0.013513513513513514,1
 landmark-banner-is-top-level,2,0.02702702702702703,2
 landmark-contentinfo-is-top-level,3,0.04054054054054054,3
frame-title,2,0.02702702702702703,2
 aria-required-parent,1,0.013513513513513514,1
html-has-lang,1,0.013513513513513514,1
 aria-required-attr,1,0.013513513513513514,1
 landmark-no-duplicate-contentinfo,2,0.02702702702702703,2
 landmark-main-is-top-level,1,0.013513513513513514,1
area-alt,1,0.013513513513513514,61
meta-viewport,1,0.013513513513513514,1
